index,crop,month,year,price,category
0,"RICE, WELL-MILLED, 1 KG",Jan,2020,43.02,CEREALS
1,"RICE, WELL-MILLED, 1 KG",Feb,2020,42.86,CEREALS
2,"RICE, WELL-MILLED, 1 KG",Mar,2020,42.66,CEREALS
3,"RICE, WELL-MILLED, 1 KG",Apr,2020,43.61,CEREALS
4,"RICE, WELL-MILLED, 1 KG",May,2020,43.88,CEREALS
5,"RICE, WELL-MILLED, 1 KG",Jun,2020,44.09,CEREALS
6,"RICE, WELL-MILLED, 1 KG",Jul,2020,44.16,CEREALS
7,"RICE, WELL-MILLED, 1 KG",Aug,2020,44.05,CEREALS
8,"RICE, WELL-MILLED, 1 KG",Sep,2020,43.83,CEREALS
9,"RICE, WELL-MILLED, 1 KG",Oct,2020,43.46,CEREALS
10,"RICE, WELL-MILLED, 1 KG",Nov,2020,43.29,CEREALS
11,"RICE, WELL-MILLED, 1 KG",Dec,2020,43.27,CEREALS
12,"RICE, WELL-MILLED, 1 KG",Annual,2020,43.51,CEREALS
13,"RICE, WELL-MILLED, 1 KG",Jan,2021,42.84,CEREALS
14,"RICE, WELL-MILLED, 1 KG",Feb,2021,42.98,CEREALS
15,"RICE, WELL-MILLED, 1 KG",Mar,2021,43.07,CEREALS
16,"RICE, WELL-MILLED, 1 KG",Apr,2021,43.13,CEREALS
17,"RICE, WELL-MILLED, 1 KG",May,2021,43.18,CEREALS
18,"RICE, WELL-MILLED, 1 KG",Jun,2021,43.16,CEREALS
19,"RICE, WELL-MILLED, 1 KG",Jul,2021,43.27,CEREALS
20,"RICE, WELL-MILLED, 1 KG",Aug,2021,43.45,CEREALS
21,"RICE, WELL-MILLED, 1 KG",Sep,2021,43.37,CEREALS
22,"RICE, WELL-MILLED, 1 KG",Oct,2021,43.27,CEREALS
23,"RICE, WELL-MILLED, 1 KG",Nov,2021,43.25,CEREALS
24,"RICE, WELL-MILLED, 1 KG",Dec,2021,43.22,CEREALS
25,"RICE, WELL-MILLED, 1 KG",Annual,2021,43.18,CEREALS
26,"RICE, WELL-MILLED, 1 KG",Jan,2022,43.13,CEREALS
27,"RICE, WELL-MILLED, 1 KG",Feb,2022,43.17,CEREALS
28,"RICE, WELL-MILLED, 1 KG",Mar,2022,43.21,CEREALS
29,"RICE, WELL-MILLED, 1 KG",Apr,2022,43.31,CEREALS
30,"RICE, WELL-MILLED, 1 KG",May,2022,43.42,CEREALS
31,"RICE, WELL-MILLED, 1 KG",Jun,2022,43.62,CEREALS
32,"RICE, WELL-MILLED, 1 KG",Jul,2022,43.72,CEREALS
33,"RICE, WELL-MILLED, 1 KG",Aug,2022,43.88,CEREALS
34,"RICE, WELL-MILLED, 1 KG",Sep,2022,43.8,CEREALS
35,"RICE, WELL-MILLED, 1 KG",Oct,2022,43.82,CEREALS
36,"RICE, WELL-MILLED, 1 KG",Nov,2022,43.86,CEREALS
37,"RICE, WELL-MILLED, 1 KG",Dec,2022,43.98,CEREALS
38,"RICE, WELL-MILLED, 1 KG",Annual,2022,43.58,CEREALS
39,"RICE, WELL-MILLED, 1 KG",Jan,2023,43.92,CEREALS
40,"RICE, WELL-MILLED, 1 KG",Feb,2023,43.99,CEREALS
41,"RICE, WELL-MILLED, 1 KG",Mar,2023,44.23,CEREALS
42,"RICE, WELL-MILLED, 1 KG",Apr,2023,44.53,CEREALS
43,"RICE, WELL-MILLED, 1 KG",May,2023,44.78,CEREALS
44,"RICE, WELL-MILLED, 1 KG",Jun,2023,44.99,CEREALS
45,"RICE, WELL-MILLED, 1 KG",Jul,2023,45.32,CEREALS
46,"RICE, WELL-MILLED, 1 KG",Aug,2023,47.65,CEREALS
47,"RICE, WELL-MILLED, 1 KG",Sep,2023,52.69,CEREALS
48,"RICE, WELL-MILLED, 1 KG",Oct,2023,50.99,CEREALS
49,"RICE, WELL-MILLED, 1 KG",Nov,2023,51.99,CEREALS
50,"RICE, WELL-MILLED, 1 KG",Dec,2023,53.82,CEREALS
51,"RICE, WELL-MILLED, 1 KG",Annual,2023,47.41,CEREALS
52,"RICE, REGULAR-MILLED, 1 KG",Jan,2020,38.52,CEREALS
53,"RICE, REGULAR-MILLED, 1 KG",Feb,2020,38.24,CEREALS
54,"RICE, REGULAR-MILLED, 1 KG",Mar,2020,38.1,CEREALS
55,"RICE, REGULAR-MILLED, 1 KG",Apr,2020,39.14,CEREALS
56,"RICE, REGULAR-MILLED, 1 KG",May,2020,39.48,CEREALS
57,"RICE, REGULAR-MILLED, 1 KG",Jun,2020,39.72,CEREALS
58,"RICE, REGULAR-MILLED, 1 KG",Jul,2020,39.83,CEREALS
